               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  84,            0.044169,            0.038089,                   0,             0.70897,             0.53964,             0.61832,             0.33579,            0.049047,            0.032686,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.044568,            0.038282,                   0,             0.72023,              0.5452,             0.62272,             0.33685,            0.049107,            0.032739,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.044299,            0.038465,                   0,             0.72686,             0.53543,              0.6186,             0.33632,             0.04924,             0.03272,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.043767,            0.038668,                   0,             0.73263,             0.53732,             0.62125,             0.33901,            0.049101,            0.032638,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.043856,             0.03788,                   0,             0.69783,             0.54242,             0.61933,             0.33654,            0.049097,            0.032652,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.043582,            0.037839,                   0,             0.72226,             0.54251,             0.62417,             0.34281,            0.048962,             0.03257,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.043696,            0.038254,                   0,             0.74016,             0.52898,             0.61502,             0.33729,            0.049015,             0.03287,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.043173,            0.037795,                   0,             0.73785,             0.52944,             0.61805,             0.33952,            0.049177,            0.032775,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.043407,            0.038161,                   0,             0.70272,             0.54335,             0.61966,             0.33966,            0.049053,            0.032759,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.043545,             0.03736,                   0,             0.70208,             0.55355,             0.61919,             0.34072,            0.049091,            0.032734,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.043388,             0.03727,                   0,             0.69951,             0.54984,             0.61959,             0.34128,             0.04897,            0.032835,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.043019,            0.036835,                   0,             0.73724,             0.52898,             0.61957,             0.34088,            0.048935,            0.032837,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.043018,            0.036795,                   0,             0.72346,             0.54057,             0.62094,             0.33954,            0.049022,            0.032874,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.042739,            0.036865,                   0,              0.7263,             0.53393,             0.62001,             0.34134,            0.048983,            0.032922,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.042629,            0.036321,                   0,             0.72158,             0.53825,             0.62034,             0.34218,            0.049052,            0.032898,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.043002,            0.037236,                   0,             0.72603,             0.53933,             0.61933,             0.34143,            0.049035,            0.032938,                   0,            0.000298,            0.000298,            0.000298
